NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
J.Śl-04.01Ex;Schronisko w Pogorzycach;Wyżyna Śląsko-Krakowska;Chrzanów (gm. miejsko-wiejska);Komunalny;5;0;0;0;0;530992,6628;246321,0066;1950
J.Cz.I-04.27;Schronisko w Trzeciej Górze;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;527765,1628;315624,7378;2383
J.GT-05.16;Schronisko nad Doliną;Wyżyna Śląsko-Krakowska;Alwernia (gm. miejsko-wiejska);Komunalny;3;0;0;0;0;541293,4579;242561,9106;2414
J.GT-05.20;Studnia za Igłą;Wyżyna Śląsko-Krakowska;Alwernia (gm. miejsko-wiejska);Komunalny;8;0;5;5;0;541370,3558;242902,1537;2418
J.Śl-01.01Ex;Jaskinia w Żyrowej;Wyżyna Śląsko-Krakowska;Zdzieszowice (gm. miejsko-wiejska);Skarb Państwa;8;3;3;0;0;438720,3376;288579,7213;1941
J.Olk.I-06.92;Koleba w II Wąwozie;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;3,8;0;0;0;0;553798,6811;254499,5468;2045
J.Olk.I-06.93;Schronisko pod Słupami;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;5,5;0;0;0;0;553916,4539;254624,2525;2047
J.GT-03.30;Tunel w Sance;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);12;0;4,3;4,3;0;547685,8705;245888,12;2295
J.Cz.I-03.57;Schronisko koło Jaskini Maurycego II;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);11,5;0;0;0;0;521010,7753;317878,3058;2319
J.Cz.IV-01.06;Okap w Kamieniołomie;Wyżyna Śląsko-Krakowska;Łazy (gm. miejsko-wiejska);Prywatny;15;0;4,4;4,4;0;530985,5464;281490,4549;2428
J.GT-03.45;Jaskinia za Źródłem I;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);10;0;3;3;0;548212,2106;244812,1176;2328
J.Olk.I-07.44;Jaskinia Główna w Wielkiej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;23;0;0;0;0;554850,9104;258277,5158;2028
J.BK-02.20;Kawerna w Pychowicach III;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;11;0;0;0;0;563055,6543;240969,8703;2087
J.BK-02.22;Kawerna w Bodzowie;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;265;4,6;5,7;1,1;0;562211,4978;241137,2063;2106
J.GT-03.43;Długi Okap;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);15;0;0;0;0;548193,1727;244719,3125;2326
J.GT-03.46;Jaskinia za Źródłem II;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);9;0;0;0;0;548212,2106;244812,1176;2329
J.GT-05.11;Jaskinia na Wrzosach Północna;Wyżyna Śląsko-Krakowska;Czernichów (gm. wiejska);Skarb Państwa (Lasy Państwowe);24;0;0;0;0;543412,2216;243628,5161;2409
J.Śl-01.04Ex;Schronisko w Tarnowie III;Wyżyna Śląsko-Krakowska;Gogolin (gm. miejsko-wiejska);Prywatny;0;0;0;0;0;435658,8157;299363,114;1944
J.Olk.I-07.03;Schronisko w Łączkach III;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;4;0;0;0;0;552774,18;253779,09;1953
J.Olk.I-06.89;Szczelina pod Kulą;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;5;0;3,6;3,6;0;553918,9531;254377,247;2016
J.Olk.I-06.90;Korytarz w Kuli;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;10,5;0;4,9;4,9;0;553879,5902;254345,9701;2017
J.Cz.I-03.44;Schronisko za Wantą w Puchaczu;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);4,2;0;0;0;0;520422,0636;318061,2481;2296
J.GT-03.42;Okap z Oknem;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);10;0;0;0;0;548193,4511;244688,4371;2325
J.GT-03.37;Okap za Zerwą Pierwszy;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Prywatny;25;0;0;0;0;548293,0972;244658,4586;2312
J.GT-03.44;Niski Okap;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);7;0;0;0;0;548213,0461;244719,4917;2327
J.BK-03.10;Schronisko w Skałach Panieńskich Górne;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;0;561482,263;244106,5432;2134
J.Olk.I-07.64;Korytarz obok Jaskini w Polniku II;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;4;0;0;0;0;555871,982;259214,5139;2061
J.Olk.I-06.84;Grotka w Mnichu;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;554016,8888;254501,7542;2011
J.Olk.I-07.04;Jaskinia na Łączkach;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;20;12,5;12,5;0;0;552968,8996;254151,5682;1954
T.D-13.09;Kozie Okna;Tatry;Zakopane (gm. miejska);Skarb Państwa;12;6;6;0;0;567369,52;153921,64;11291
J.GT-04.14;Brzuszna Szczelina;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);11;0;5,8;5,8;0;552128,9799;246701,5743;2367
J.Cz.I-02.04;Schronisko w Górze Sowiej;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;8;0;1;1;0;518758,2093;322933,9949;2169
J.Olk.I-06.87;Szczelina w Bramie Kobylańskiej;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2,5;0;0;0;0;554038,9175;254285,8256;2014
J.BK-02.19;Kawerna w Pychowicach II;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;23;0;0;0;0;563136,3698;240942,0418;2086
J.GT-04.15;Jaskinia pod Zajęczą;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;0;552148,8459;246701,7682;2368
J.BK-03.11;Szczelina przed Gajówką;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;0;561267,145;244300,7069;2135
J.Cz.II-02.45;Szczelina między Leszczynami;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3,5;0;0;0;0;527379,9833;313498,5455;3700
J.Śl-03.08;Schronisko Ostatnie;Wyżyna Śląsko-Krakowska;Będzin (gm. miejska);Komunalny;2;0;0;0;0;505115,6692;277233,6206;1908
J.Olk.I-07.49;Jaskinia Psia Klatka;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;22;0;0;0;0;555120,1176;259083,1554;2033
J.Cz.I-04.07;Jaskinia Kadzielniańska w Siedlcu;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Prywatny;30;12;12;0;0;526908,6051;314415,9464;2358
J.GT-03.07;Jaskinia pod Kochanką;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Prywatny;34;0;0;0;0;551158,4305;244314,575;2229
J.GT-03.20;Jaskinia na Łopiankach II;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);12;0;0;0;0;550395,0338;245171,9095;2261
J.Olk.I-07.02;Schronisko w Łączkach II;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;2;0;0;0;0;552734,1997;253809,5749;1952
J.BK-02.13;Jaskinia z Kulkami;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;100;11,4;11,4;0;0;564556,6236;241659,7976;2080
J.Cz.I-04.10;Schronisko w Kadzielni III;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Prywatny;4;0;0;0;0;527142,8343;314633,3155;2361
J.Cz.I-03.25;System Jaskini Olsztyńskiej;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);224;24,5;29;4,5;0;519813,8;318244,18;2273
J.Olk.I-07.62;Jaskinia w Polniku I;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;19;2;2;0;0;555911,9456;259184,0544;2059
N-12Ex;Schronisko w Siesławicach II;Niecka Nidziańska;Busko-Zdrój (gm. miejsko-wiejska);;10;0;0;0;0;620219,7961;288358,8759;785
J.Olk.I-06.96;Szczelina z Dachem;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;5;0;0;0;0;553994,5489;254748,5587;2051
J.GT-04.07;Schronisko w Dziurawej Skale;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;9;0;0;0;0;552429,3944;246457,4877;2341
K.Bż-05.45;Jaskinia pod Rolą Flakową;Karpaty;Bystra-Sidzina (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;1;1;0;1;549964,85;196635,68;10180
J.Cz.I-04.03;Schronisko w Pabianicach I;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Prywatny;18;3,5;3,5;0;0;526722,6904;316739,1784;2353
K.Bż-05.48;Lisia Jama nad Jastrzębim I;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);2;0;0;0;1;541562,19;198009,78;10183
J.Cz.III-04.01;Jaskinia Obora;Wyżyna Śląsko-Krakowska;Niegowa (gm. wiejska);Prywatny;17;0;0;0;0;534282,2912;305565,6755;3371
J.BK-02.09;Okienko Zbójnickie;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;9;2;2;0;0;564674,6185;241732,9297;2076
J.GT-05.03;Jaskinia Dzikiej Świni;Wyżyna Śląsko-Krakowska;Czernichów (gm. wiejska);Skarb Państwa (Lasy Państwowe);14;0;0;0;0;546275,3469;243559,8937;2401
J.GT-05.02;Jaskinia Sobotnia;Wyżyna Śląsko-Krakowska;Czernichów (gm. wiejska);Skarb Państwa (Lasy Państwowe);24;1,8;4,5;2,7;0;546275,6141;243529,0184;2400
J.Cz.I-05.55;Wiercica;Wyżyna Śląsko-Krakowska;Niegowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);210;31;31;0;0;529347,03;312092,4;2519
J.Cz.I-03.20;Schronisko w Turni Simonda na Pustelnicy;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;0;519673,2891;318327,7139;2262
J.BK-02.38;Schronisko w Wielogórze;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Skarb Państwa (Lasy Państwowe);6;0;0;0;0;559071,2852;237454,5775;2122
J.Cz.I-03.05;Schronisko obok Studniska;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);12;2;2;0;0;519069,7409;318056,1344;2237
J.BK-02.21;Jaskinia pod Fortem;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Prywatny;15;3,4;3,4;0;0;562350,8076;241160,927;2088
J.Olk.I-06.68;Postrzępiony Okap;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;2;0;0;0;0;554272,5694;254720,5043;1994
J.Wl-01.20;Jaskinia Mariusza II;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;4,5;0;1,5;1,5;0;485414,6305;358371,4786;1776
J.Wl-02Ex;Jaskinia Rudnickiego;Wyżyna Śląsko-Krakowska;Działoszyn (gm. miejsko-wiejska);Prywatny;0;0;0;0;0;487167,1;359262,38;1799
J.Cz.I-01.01Ex;Schroniska w Liboradzu;Wyżyna Śląsko-Krakowska;Mstów (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;0;516280,0551;326445,9645;2146
J.BK-04.07;Schronisko nad Jaskiniami Wiślanymi;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Komunalny;8;0;0;0;0;556863,0747;238914,8988;2191
J.Cz.I-02.07;Schronisko w Górze Towarniej Dużej;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;5;0;0;0;0;519132,0528;322441,2766;2182
J.BK-02.28;Schronisko w Skałach Winnicy;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;2,5;0;0;0;0;557635,9926;239915,1891;2112
J.Olk.I-06.99;Szeroki Okap;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;6;0;1,4;1,4;0;554131,2062;254966,0974;2056
J.Olk.I-07.01;Schronisko w Łączkach I;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa;5;0;0;0;0;552694,8258;253778,3068;1951
J.Olk.I-07.38;Komin w Wielkiej Skale;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;10,5;7,5;7,5;0;0;554832,6777;258122,9323;2022
J.BK-02.26;Kawerna Winnica I;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;105;0;0;0;0;561660,1016;239702,9933;2110
J.Cz.I-02.30;Jaskinia w Zrębicach;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;18;5,2;5,2;0;0;523165,6313;318134,4582;2218
J.BK-03.21;Szczelina przy Jaskini Kryspinowskiej;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;557221,3248;241963,2717;2173
J.BK-02.29;Schronisko w Winnicy  I;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;13;0;0;0;0;557588,1906;239833,9418;2113
J.Cz.I-02.24;Jaskinia w Lipówce;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;22;0;5;5;0;519134,7613;319392,5939;2209
J.BK-02.15;Jaskinia Jasna;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;82;3,2;3,2;0;0;564544,761;241729,454;2082
J.Cz.I-03.07;Jędrusiowa Jama;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);4,5;0;0;0;0;519030,5431;318055,9914;2240
J.Cz.I-02.10;Schronisko w Górze Zajęczej;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;7;1;1;0;0;519747,2102;321138,2607;2185
K.Bs-03.125;Jaskinia w Gościejowie;Karpaty;Wisła (gm. miejska);Skarb Państwa (Lasy Państwowe);7,5;5;5;0;1;493235,31;198324,09;10177
J.Cz.I-02.26;Schronisko w Przymiłowicach I;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;3;0;0;0;0;523074,1275;321098,5143;2211
J.BK-03.16;Tradytor w Olszanicy;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);;18;10;10;0;0;559998,923;244746,149;2151
J.Olk.I-07.58;Tunel Stromy na Tomaszówkach Dolnych;Wyżyna Śląsko-Krakowska;Wielka Wieś (gm. wiejska);Prywatny;11;1;5;4;0;555640,2806;258625,3804;2046
K.Bs-02.41;Dziura w Ziemi;Karpaty;Lipowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;2,5;2,5;0;0;504089,82;197389,03;2829
J.Cz.I-03.16;Schronisko Pogorzelskiego;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);6;0;0;0;0;519324,8692;317964,4336;2256
J.Cz.IV-01.03;Schronisko w Niegowonicach;Wyżyna Śląsko-Krakowska;Łazy (gm. miejsko-wiejska);Prywatny;39,1;0;2,6;2,6;0;530986,0897;281397,823;2425
J.GT-02.02;Tunel przy Skale Kmity;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;557037,2822;248480,9386;2221
J.Cz.III-05.09;Mała Studnia Szpatowców;Wyżyna Śląsko-Krakowska;Kroczyce (gm. wiejska);Prywatny;13;9,5;9,5;0;0;536911,1584;300519,2401;3533
J.Olk.I-07.47;Jaskinia Nietoperzowa;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;326;0;23;0;0;555281,56;258806,92;2031
J.BK-02.30;Schronisko w Winnicy II;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;6;0;0;0;0;557590,0586;239764,0196;2114
J.Cz.IV-02.15;Dwoista Szczelina;Wyżyna Śląsko-Krakowska;Ogrodzieniec (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);6,1;0;2;2;0;540431,4838;282542,4278;2454
J.GT-04.08;Schronisko za Ulami;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;4;0;0;0;0;552269,8546;246517,681;2342
J.Cz.I-04.01Ex;Schronisko Kadzielniańskie w Siedlcu I;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Prywatny;8;3;3;0;0;527065,3463;314447,6352;2350
J.GT-04.11;Schronisko Kuny;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Prywatny;5;0;0;0;0;552228,9138;246640,7938;2351
J.Cz.I-03.37;Schroniska w Pustelnicy IV;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);9;0;3;3;0;520286,6707;317597,5263;2285
J.GT-04.05;Jaskinia nad Skrzatami;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;0;552737,8522;249424,8511;2336
J.GT-04.09;Schronisko pod Kazalnicą;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);13;0;3,6;3,6;0;552110,3185;246577,8791;2346
J.Cz.I-03.54;Jaskinia Fikuśna;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);21;6,5;6,5;0;0;521010,4025;317970,9433;2313
J.Cz.I-05.53;Jaskinia za Złamaną Lipą;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);20;0;0;0;0;529037,0539;312574,5469;2517
J.Cz.I-03.33;Schronisko w Pustelnicy III;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);12;0;0;0;0;519991,0065;318028,7005;2281
J.Cz.I-05.38;Jaskinia Przelotowa;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);24;3;5;2;0;528911,3123;314025,2003;2502
J.Cz.IV-04.85;Schronisko w Opolanicy I;Wyżyna Śląsko-Krakowska;Wolbrom (gm. miejsko-wiejska);Prywatny;7,6;0;0;0;0;549088,64;285302,34;2558
J.Cz.IV-04.13;Szczelina pod Głazami;Wyżyna Śląsko-Krakowska;Pilica (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);5;0;0;0;0;547117,8109;285129,9782;2539
J.Cz.I-05.01;Niedźwiedzia Grota;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);76;0;8;8;0;530123,651;314680,5225;2455
J.Cz.I-03.42;Schronisko w Skałce w Puchaczu;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);7;0;0;0;0;520421,9428;318092,1272;2292
J.GT-04.24;Jaskinia w Trzech Turniach;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);8;0;0;0;0;549764,354;248871,3706;2397
J.Cz.I-03.67;Schronisko w Karzełku I;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);6;0;0;0;0;520811,8769;316879,2564;2343
J.Cz.I-03.35;Szpaciarnia nad Urwistą;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;519913,317;317843,126;2283
J.Cz.I-03.60;Schronisko w Donicy II;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;520425,0826;317289,2698;2323
J.Cz.I-04.13;Schronisko w Uroczysku Bogdaniec III;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;1,5;1,5;0;527571,69;315129,64;2364
J.GT-03.39;Okap za Zerwą Drugi;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Prywatny;14;0;0;0;0;548273,5024;244627,4038;2317
J.Cz.I-05.33;Schronisko za Bramą I;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);4,5;0;0;0;0;528500,7622;313775,908;2497
J.GT-05.07;Jaskinia przy Kapliczce w Rybnej;Wyżyna Śląsko-Krakowska;Czernichów (gm. wiejska);Prywatny;8,5;0;0;0;0;545937,4281;243556,9801;2405
J.BK-03.05;Szczelina w Panieńskich Skałach;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Skarb Państwa (Lasy Państwowe);3,5;0;0;0;0;561452,8299;244085,7628;2129
J.BK-03.07;Kominek w Panieńskich Skałach;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Skarb Państwa (Lasy Państwowe);3;0;2,5;2,5;0;561442,8399;244085,4953;2131
J.BK-02.23;Kawerna Kostrze;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Komunalny;135;0;0;0;0;561810,2339;240816,5858;2107
J.Cz.I-01.02Ex;Jaskinia pod Fundamentem;Wyżyna Śląsko-Krakowska;Częstochowa (gm. miejska);Prywatny;8,4;5,9;5,9;0;0;512754,4504;327856,6081;2148
J.Cz.I-02.02Ex;Schronisko IV w Przymiłowicach;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;6;0;4;4;0;523035,0888;321067,4619;2166
J.BK-03.19;Jaskinia Kryspinowska;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);225;6;6;0;0;557251,5627;241954,0851;2170
J.Cz.I-03.18;Studnia Zygmunta;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);11;4;4;0;0;519735,1691;318305,6437;2259
J.Cz.I-04.17;Schronisko w Uroczysku Bogdaniec VI;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;527492,761;315221,8601;2373
J.Cz.I-02.04Ex;Jaskinia Amonitów;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;20;15;15;0;0;517631,1979;320367,0473;2171
J.Cz.I-03.19;Schronisko nad Jaskinią Koralową;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);3;0;0;0;0;519695,8568;318336,3749;2260
J.GT-03.09;Jaskinia nad Miłaszówką;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);10;3;3;0;0;550879,0067;244435,4208;2232
J.GT-02.03;Jaskinia w Dolinie Grzybowskiej;Wyżyna Śląsko-Krakowska;Zabierzów (gm. wiejska);Skarb Państwa (Lasy Państwowe);11;0;0;0;0;555465,1692;248773,1628;2222
J.Cz.I-03.11;Schronisko w Sokolicy I;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);11;0;4;4;0;519207,1602;317994,8789;2247
J.GT-03.21;Jaskinia Księżycowa;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);21,5;0;2;2;0;550440,0212;244616,5291;2263
J.Cz.I-01.08;System Jaskiń Srockich;Wyżyna Śląsko-Krakowska;Mstów (gm. wiejska);Skarb Państwa (Lasy Państwowe);90;0;3,5;3,5;0;517556,8239;324998,7576;2158
J.GT-05.09;Tunel nad Kamieniołomem w Rybnej;Wyżyna Śląsko-Krakowska;Czernichów (gm. wiejska);Prywatny;9;0;0;0;0;545956,2442;243680,6522;2407
J.GT-03.02;Schronisko na Gaiku II;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Prywatny;4;0;0;0;0;552115,1335;244045,9118;2224
J.Cz.I-03.26;Schronisko w Pustelnicy I;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;519813,561;318305,9406;2274
J.Cz.I-01.02;Jaskinia za Kaflarnią;Wyżyna Śląsko-Krakowska;Mstów (gm. wiejska);Prywatny;7;1;1;0;0;519226,3975;328710,2509;2147
J.GT-05.13;Schronisko Porębskie;Wyżyna Śląsko-Krakowska;Alwernia (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);20;0;0;0;0;543130,2041;244089,3945;2411
J.Cz.I-04.18;Studnia w Uroczysku Bogdaniec;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);7;4,5;4,5;0;0;527511,8829;315314,6001;2374
J.Cz.I-03.08;Schronisko w Skale Bonifacego;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);9;0;0;0;0;519030,5431;318055,9914;2241
J.Cz.IV-04.52;Schronisko w Zegarowych Skałach I;Wyżyna Śląsko-Krakowska;Wolbrom (gm. miejsko-wiejska);Prywatny;7,6;0;5,7;5,7;0;547870,3523;284797,0736;2642
J.BK-03.13;Jaskinia w Zielonym Dole;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Skarb Państwa (Lasy Państwowe);5,5;0;0;0;0;560964,7987;244392,5733;2137
J.GT-03.19;Jaskinia na Łopiankach I;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);70;0;0;0;0;550395,616;245110,1589;2258
J.GT-03.38;Schronisko między Okapami;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Prywatny;14;0;2,5;2,5;0;548273,5024;244627,4038;2314
J.BK-02.37;Jaskinia pod Grodziskiem;Wyżyna Śląsko-Krakowska;Kraków (gm. miejska);Skarb Państwa (Lasy Państwowe);6;0;0;0;0;557789,8683;237900,1087;2121
J.Cz.I-03.04;Schronisko przed Amfiteatrem;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;518971,9708;317994,0191;2235
J.Cz.IV-04.76;Schronisko w Pociejówce II;Wyżyna Śląsko-Krakowska;Wolbrom (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);4,3;0;0;0;0;548279,1869;285387,5142;2549
J.GT-03.31;Pajęczy Schron;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);21;0;0;0;0;547666,0016;245887,9427;2298
