NR_INWENT,C,50;NAZWA,C,200;REGION,C,254;GMINA,C,100;WLASCICIEL,C,254;DLUGOSC,N,19,4;GLEBOKOSC,N,19,4;PRZEWYZSZE,N,19,4;DENIWELACJ,N,19,4;OSUWISKOWA,N,5,0;X_1992,N,19,4;Y_1992,N,19,4;ID,N,10,0
T-Wielka Śnieżna;Jaskinia Wielka Śnieżna;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;23723;808;824;16;0;567168,22;152902,58;490
K.Bż-05.54;Sejb-owe Schronisko;Karpaty;Zawoja (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;1;547394,4;195905,58;10197
J.Cz.I-02.13;Jaskinia Zamkowa Dolna;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Prywatny;30;0;14;14;0;519335,659;320342,2053;2189
J.Cz.II-02.27;Tunelik nad Zastudniem;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;527575,1372;312194,461;3672
J.Cz.II-04.39;Tunelik w Kozubcu;Wyżyna Śląsko-Krakowska;Niegowa (gm. wiejska);Komunalny;4;0;0;0;0;530739,651;311230,4512;3817
T.E-13.15;Duży Schron;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;3;0;0;0;0;567549,75;153366,55;1606
J.Cz.I-03.50;Schronisko Wysokie;Wyżyna Śląsko-Krakowska;Olsztyn (gm. wiejska);Skarb Państwa (Lasy Państwowe);16,5;0;4;4;0;520500,3378;318092,4344;2305
K.Bs-03.25;Jaskinia w Kościelcu II;Karpaty;Lipowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);14;0;2;2;0;501683,81;198159,59;2905
T.E-12.48;Szczelina w Litworowej;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;5;0;0;0;0;566550,65;152816,27;1588
J.GT-03.11;Schronisko na lewym brzegu Doliny Sanki;Wyżyna Śląsko-Krakowska;Liszki (gm. wiejska);Skarb Państwa (Lasy Państwowe);10;0;3;3;0;550897,4113;244589,9863;2238
J.Cz.I-04.11;Schronisko w Uroczysku Bogdaniec I;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);2,5;0;0;0;0;527592,6021;314882,7084;2362
J.Cz.I-05.44;Schronisko pod Skośną Płytą;Wyżyna Śląsko-Krakowska;Janów (gm. wiejska);Skarb Państwa (Lasy Państwowe);4;0;0;0;0;528989,4264;314087,3925;2508
K.Pd-01.02;Schronisko Orzechowe;Karpaty;Korczyna (gm. wiejska);Skarb Państwa (Lasy Państwowe);7;0;0;0;0;702043,92;212123,7;3271
G-1.23;Schronisko nad Zawaliskową;Region Świętokrzyski;Kielce (gm. miejska);Komunalny;6;0;0;0;0;613857,1041;333951,7241;691
T.E-11.05;Jaskinia Marmurowa;Tatry;Kościelisko (gm. wiejska);Skarb Państwa;681;126;150,5;24,5;0;565427,07;152854;1472
